NEWS URL,NEWS TITLE,NEWS DATE,NEWS
http://zeenews.india.com/tennis/us-open-2020-gritty-alexander-zverev-edges-past-borna-coric-to-reach-semi-finals-2308625.html,US Open 2020: Gritty Alexander Zverev edges past Borna Coric to reach semi-finals,09-09-2020," New York: German fifth seed Alexander Zverev survived a stern test of nerve to reach his second Grand Slam semi-final this year with a 1-6, 7-6(5), 7-6(1), 6-3 victory over Croatian Borna Coric at the US Open on Tuesday (September 8). After a slow start, Zverev raised his game and showed more poise in the crucial moments against the 27th seed to become the first German to reach the last four at the US Open since Boris Becker in 1995. ""I just started playing maybe a little bit more aggressive because if I would`ve played the way I played (at the start), it`s not the level for a quarter-final match at a Grand Slam,"" said Zverev. Coric made a flying start to his first career Grand Slam quarter-final match and needed only 24 minutes to wrap up the first set during which he took advantage of 12 unforced errors from a flat Zverev. But the German showed plenty of fight in the second set as he came back from a break down and overcame four double-faults and 15 unforced errors to level the match by winning the tiebreak before unleashing an extended roar. ""I had to start playing better and I was a little bit more consistent then as well. My serve got better and I thought to myself `I`m down 6-1 4-2, I have nothing to lose at the moment"" said Zverev. The fired-up German was put to the test again in a pressure-packed third set where, after trading early breaks with Coric, he twice had to serve to stay in the set before going on to cruise through another tiebreak. Trailing 5-6 15-30 in the third, Zverev came up with a potentially match-saving point when he raced to the net from deep in the court to slice a shot past his opponent. ""Obviously a huge point. But this is what I`ve been doing for the past six months, I`ve been in the gym, I`ve been on the track trying to get my speed up,"" said Zverev. ""This is the moment where it pays off."" He opened the fourth set in emphatic fashion, sending a volley past Coric to take the opening game to love. Zverev then saved four break points in the fifth game for a 3-2 lead and broke for a 5-3 cushion that sent him on his way to victory.  "
http://zeenews.india.com/india/delhi-polices-railway-unit-rescues-14-minors-brought-from-bihar-to-work-in-factories-2308624.html,Delhi Police's railway unit rescues 14 minors brought from Bihar to work in factories,09-09-2020," The railway unit of the Delhi Police on Wednesday rescued 14 minors after conducting a joint operation with NGO 'Bachpan Bachao Andolan'. Ten people have also been arrested on charges of trafficking of children. All the minors rescued are between the age group of 12 to 14 and were brought from Bihar claiming to provide them jobs. These children were being brought from different districts of Bihar--Begusarai, Katihar, Purnia, Kishanganj in the name of giving them work in Delhi. According to the police, the children were to be sent to work in factories in Haryana and Punjab from Delhi. Due to COVID-19, children were being brought to work in the factory.  "
http://zeenews.india.com/delhi/dcw-chief-swati-maliwal-asks-delhi-lg-anil-baijal-to-fast-track-two-delhi-rape-cases-ensure-death-penalty-for-accused-2308623.html,"DCW chief asks Delhi LG to fast track two rape cases, ensure death penalty for accused",09-09-2020," Highlighting the two recent gruesome rape incidents in the national capital, Delhi Commission for Women (DCW) chief Swati Maliwal on Wednesday asked Lieutenant Governor (LG) Anil Baijal to move the cases to a fast track court and ensure death penalty for the accused. A 12-year-old girl was raped and assaulted in August and is still hospitalized in AIIMS. The 90-year-old woman, raped on September 7, was also subjected to vicious beatings and gruesome rape by a 37-year-old man, said the DCW chief. In a letter, she wrote, ""During my interactions with both the survivors and their families, they have repeatedly stated that they have only one demand from the system — that their cases be fast-tracked and that the perpetrators be given the capital punishment. Since these cases arc really distressing and brutal. I appeal to your hon'ble self to kindly look into the matter and ensure exemplary punishment — the death penalty to the culprits in both the cases in a fast-tracked manner."" DCW  @SwatiJaiHind           12           90                              pic.twitter.com/IFACQEqJSB — Delhi Commission for Women - DCW (@DCWDelhi) September 9, 2020 She added, ""I, therefore, request your hon'ble self to issue necessary orders to the police to file the charge sheet in both matters within next 3 days and also direct suitable arrangements for speedy trial of the cases ensuring the completion of trial in two months.""  ""I am deeply pained to bring to your kind notice two gruesome rapes and assaults in the Capital - one of a 12-year-old girl and the other of a 90-year-old woman! The 12-year-old girl was raped and assaulted...She has suffered untold miseries and grievous injuries on her private parts and still continues to be hospitalized in AIIMS. The 90-year-old woman, who was raped the day before yesterday, on 07.09.2020, has also been subjected to vicious beatings and gruesome rape by a 37-year-old man. She continues to be in deep trauma. I have met both of them and am deeply dismayed at their condition,"" read the letter. Live TV "
http://zeenews.india.com/regional/telugu-tv-actress-kondapalli-sravani-suicide-family-files-complaint-against-tiktok-user-devaraj-reddy-2308622.html,Telugu TV actress Kondapalli Sravani suicide: Family files complaint against TikTok user Devaraj Reddy,09-09-2020," New Delhi: Popular Telugu actress Kondapalli Sravani's death news shook her fans on Wednesday. The young and talented star died by suicide, allegedly at her residence. She stayed on the 2nd floor of Madhura Nagar H56 block, Hyderabad. She was 26. Sravani's family members have filed a complaint against a Tik Tok user named Devaraj Reddy at the SR Nagar police station. The actress's family alleged that Devaraj, who had been harassing Sravani for some time.  She went to the bathroom and apparently hanged herself there at 9:30 pm today (Tuesday). The family stated that they thought she is taking bath but when she did not come out for a long, they broke the door open and found her hanging. The family members who witnessed the incident rushed her to Yashoda Hospital, where doctors said she was brought dead. However, the police shifted her body to Osmania Hospital for postmortem. The police is investigating the case. ""Devaraj Reddy, the cause of death of our elder sister, should be severely punished"",   Shiva, younger brother of Sravani told reporters. Devaraj Reddy from Gollaprolu, Kakinada was in touch with Kondapalli Sravani on TikTok for some time and they became friendly, according to reports. Kondapalli Sravani had been acting in TV serials such as Maunaragam, Manasumata and many others for the last eight years.    "
http://zeenews.india.com/technology/samsung-files-patent-for-galaxy-device-with-transparent-display-2308617.html,Samsung files patent for Galaxy device with transparent display,09-09-2020," Seoul: South Korean tech giant Samsung has patented a new Galaxy smartphone with a futuristic-looking transparent display. The company filed the patent with the USPTO (United States Patent and Trademark Office) and the WIPO (World Intellectual Property Office) and was published on August 27, reports LetsGoDigital. The patent describes the technology that is needed to make a transparent smartphone and can even be used in other electronic gadgets as well, including TVs, monitors, laptops and gaming consoles. According to the report, the device seen in the patent has narrow bezels and a large transparent screen and an OLED panel is apparently used. Samsung earlier patented a device that depicts a status indicator on the punch-hole camera. The status indicator around the camera is in various shapes like square, ovaloid and even circular.  "
http://zeenews.india.com/people/thank-you-katrina-for-always-being-there-for-me-ali-abbas-zafar-2308615.html,Thank you Katrina for always being there for me: Ali Abbas Zafar,09-09-2020," New Delhi: Filmmaker Ali Abbas Zafar is credited with Rs 300 crore blockbusters such as 'Sultan', 'Tiger Zinda Hai', and more recently 'Bharat' which also did phenomenal business at the Box Office. Hailing from Dehradun, Ali began his journey in Yash Raj Films (YRF) as an assistant director and finally graduated into becoming a star filmmaker. Recounting his inspirational journey so far, Ali Abbas Zafar said: My journey from being an assistant director to director has been very exciting and I must say, little filmy. I was an assistant director in YRF on Jhoom Barabar Jhoom, Badmaash Company, New York, Tashan and then while I was assisting, I was writing films parallelly. So, after I finished 'Badmaash Company', I gave a script to Adi.   He added, ""One day, I was driving to Goa with some friends and he called me and said I read your script and I think it's pretty good. It just needs some minor fixing and we are good to go. I would say it's been miraculous, it's been fascinating and to be a complete outsider in this industry, to get a chance to direct for YRF and to work with Katrina, Imran and Adi has been a blessing."" In the process of directing Mere Brother Ki Dulhan, Ali made a friend for a lifetime in Katrina Kaif. He says, “Katrina and me are like chalk and cheese! Definitely best of friends but we have our disagreements too. That is what keeps our relationship real and relevant. You just need to be true to yourself and especially when you find close friends, you need to be honest to them. I've always tried to do the best I could do with her and she supported me in every possible way she could.”  “When she said yes to Mere Brother Ki Dulhan, the role on paper was very strong but you know I was a complete newcomer and she was riding super high on her success. For her to be generous enough, to choose me over other filmmakers who were offering her scripts at that point of time, was a very brave decision. Since then, till now we've been more of personal friends than professional friends. So yes, thank you, Katrina, for always being there for me and it's been great to have you in my life!"", he said.  Ali revealed, “I personally feel working with YRF from Mere Brother Ki Dulhan to Tiger Zinda Hai, I think as a director there was complete creative freedom. I think I found my voice as a film-maker in YRF. It's a dream to have a producer like Adi Chopra because he himself is a director and he understands that if he is giving responsibility to someone to direct a film, to tell a story, he just needs to fly, he needs to have wings of his own creativity.”    "
http://zeenews.india.com/health/body-temperature-plays-critical-role-in-realising-diet-induced-health-benefits-study-2308614,Body temperature plays critical role in realising diet-induced health benefits: Study ,09-09-2020," Washington: Cutting calories significantly may not be an easy task for many, but it is tied to a host of health benefits ranging from longer lifespan to a much lower chance of developing cancer, heart disease, diabetes, and neurodegenerative conditions such as Alzheimer`s. A new study from teams led by Scripps Research Professors Bruno Conti, PhD, and Gary Siuzdak, PhD, highlights the critical role that body temperature plays in realising these diet-induced health benefits.  Through their findings, the scientists pave the way toward creating a medicinal compound that imitates the valuable effects of reduced body temperature. The research appears in Science Signaling. Conti has spent years studying how and why calorie restriction leads to better health, with the ultimate goal of translating the findings into medicines that can mimic what happens naturally when a person eats less. One consistent observation is that when mammals consume less food, their body temperature drops. It`s evolution`s way of helping us conserve energy until the food is available again, Conti explains. It makes sense, considering that up to half of what we eat every day is turned into energy simply to maintain our core body temperature. Conti`s previous work showed that temperature reduction can increase lifespan independently of calorie restriction--and that these effects involve activation of certain cellular processes, most of which remain to be identified. On the flip side, studies have shown that preventing body temperature from dropping can actually counteract the positive effects of calorie restriction.  Notably, in an experiment involving calorie-restricted mice, anti-cancer benefits were diminished when core body temperature remained the same.""It`s not easy to discern what`s driving the beneficial changes of calorie restriction,"" Conti says.  ""Is it the reduced calories on their own, or the change in body temperature that typically happens when one consumes fewer calories"" Or is it a combination of both"" *Metabolites hold the answer. In the new research, Conti and his team designed an experiment that would allow them to independently evaluate the effects of reduced nutrients and those of body temperature. They compared one group of calorie-restricted mice housed at room temperature--about 68 degrees Fahrenheit (22 degrees Celsius) to another group housed at 86 degrees (30 degrees Celsius). The warmer environment invoked ""thermoneutrality,"" a state at which most animals cannot easily reduce their body temperature. The Siuzdak team, using a technology they developed called activity metabolomics, then evaluated the mice by measuring their metabolites, or chemicals released by the animals` metabolism. Through this, they were able to look for molecules in the bloodstream and in the brain that are changed by the reduction of either nutrients or body temperature. ""The data we collected showed that temperature has an equal or greater effect than nutrients on metabolism during calorie restriction,"" Conti says. Notably, the team provided the first comprehensive profiling of the metabolites that are changed by temperature reduction. Through a computing analysis of results from both groups of mice, the scientists were able to prioritize which metabolites were most responsible for triggering changes to core body temperature. In a separate experiment, they also showed it is possible to administer certain metabolites as a drug to affect body temperature. Conti says further work to validate the changes induced by temperature during calorie restriction should provide novel targets for future medicines he calls ""temperature mimetics,"" which could offer the health-promoting effects without having to reduce body temperature.  "
http://zeenews.india.com/technology/twitter-to-add-headlines-descriptions-to-some-of-its-trends-2308613.html,"Twitter to add headlines, descriptions to some of its trends",09-09-2020," New Delhi: Twitter has said it will start writing improved headlines and short descriptions for some of the trends on its platform to make those less confusing for the users. The micro-blogging platform said earlier this month that it will add pinned Tweets and descriptions on trends to help explain why something is trending on its platform. ""More trend updates, even more context. We'll now add improved headlines and short descriptions to some Trends, so you can get the rundown on why something's trending when you're in the Explore tab or you tap into a Trend,"" the company said in a tweet on Tuesday. In the coming weeks, Twitter users would see brief descriptions added to some trends as well to help add context to the trending topics. The idea is to make Twitter's Trending section feel more like a newspaper experience. Descriptions are developed by Twitter curation team and follow guidelines. Descriptions on trends will be available on twitter.com and Twitter for iOS and Android. According to the company, a combination of algorithms and the curation team determine if a Tweet represents a trend by evaluating if the Tweet is very reflective of the trend and popular. ""Our algorithms are designed to identify representative Tweets that aren't potentially abusive, spam, or posted by accounts trying to take advantage of our system,"" Twitter said. Representative Tweets and descriptions on trends will be available in Argentina, Australia, Brazil, Canada, Colombia, Egypt, France, India, Ireland, Japan, Mexico, New Zealand, Saudi Arabia, Spain, the United Kingdom, the United Arab Emirates, and the United States. Descriptions will provide straightforward, clearly sourced context around why something is trending.  "
http://zeenews.india.com/uttar-pradesh/ayodhya-airport-to-be-named-after-lord-ram-will-have-international-status-2308612.html,"Ayodhya airport to be named after Lord Ram, will have international status",09-09-2020," Ayodhya: The proposed airport in Ayodhya will be named after Lord Ram and will have an international status. According to official sources, Chief Minister Yogi Adityanath-led BJP government in Uttar Pradesh has set the December 2021 deadline for completion of the airport. ""The government believes that there will be huge tourist traffic - both domestic and international - in Ayodhya when the construction of a grand Ram temple is completed. The airport will further facilitate this,"" an official spokesman said. The spokesman said that a proposal for granting international status to the airport will soon be prepared and forwarded to the concerned authorities. Live TV "
http://zeenews.india.com/cricket/indian-premier-league-2020-shane-warne-wants-sourav-ganguly-to-try-5-overs-per-bowler-rule-2308611.html,Indian Premier League 2020: Shane Warne wants Sourav Ganguly to try '5 overs per bowler' rule,09-09-2020," Dubai: Shane Warne, the legendary former Australian spinner, wants Board of Control for Cricket in India (BCCI) chief Sourav Ganguly to try 5-overs per bowler in the upcoming IPL 2020 season. Currently, a bowler can deliver a maximum of 4 overs in T20 cricket, but, Warne is of the opinion that this rule should be changed to a maximum of 5-overs per bowler for T20 cricket. The 50-year old shared the idea through his official Twitter account by writing: ""Getting a lot of great reply’s to my suggestion re a maximum of 5 overs per bowler in T/20 cricket ! Let’s make it happen ASAP @ICC! Maybe we could try it in the @IPL starting on Sept19@SGanguly99."" Getting a lot of great reply’s to my suggestion re a maximum of 5 overs per bowler in T/20 cricket ! Let’s make it happen ASAP @ICC ! Maybe we could try it in the @IPL starting on Sept 19 @SGanguly99  — Shane Warne (@ShaneWarne) September 8, 2020 Warne’s seriousness regarding the idea can be seen from the fact that he has not just tagged BCCI chief Sourav Ganguly but also the International Cricket Council ( ICC) handle. It remains to be seen whether this idea is taken up by the stakeholders and implemented in the near future. Warner’s idea is sure to ignite a debate in the cricketing circles especially at a time when limited-overs cricket has increasingly become in the favor of the batsmen with shorter boundaries, powerplays and two new balls- all assisting them. If the Australian legend’s idea is implemented, it is going to help the bowling side as they can then give an extra over to their best bowlers which will make it difficult for the batsmen to churn-out those extra runs. Warne is widely considered to be the greatest spinner of all time and picked up 708 wickets for Australia in 145 Test matches. The spinner also has significant experience in the IPL where he led Rajasthan Royals for four seasons before hanging up his boots after the 2011 edition. Warne captained the Rajasthan side to IPL victory during it's maiden edition in 2008. The Australian picked-up 57 wickets in 55 matches for Rajasthan at a phenomenal economy rate of 7.27. Over the years, several former players and experts have called for rule changes in order to make the game more balanced and equal for the bowlers. They have argued that if the game goes down the same track where the laws support the batsmen and big scores are emphasised, then the quality of cricket is going to come down and can also nullify the charm of Test cricket. IPL 2020 is all set to take place in the UAE between September 19 and November 10 across three venues – Dubai, Sharjah and Abu Dhabi. In the opening match, Chennai Super Kings will lock horns with Mumbai Indians in a repeat of last year’s final.  "
